date,time,text,nearest_match,match_result,source,text_lr,text_bert
2024-07-07,16:00:00,"Football x Crypto: Lesson 106

It's all about hitting your target every time.

Set and hit your goals now ??",Tournament window,,euro2024_domain,football crypto lesson all about hitting target every time set hit goals now,Football x Crypto: Lesson 106 It's all about hitting your target every time. Set and hit your goals now ??
2024-07-07,17:39:00,"Get £50 in free bets to use on my #EURO2024  Bet Builders!

Sign up here: tinyurl.com/50FREE-BB

Place £10 on your first bet and you will be given the free bets when the bet is settled.

18+ BeGambleAware | T&C's Apply | New Customer Offer Ad",Tournament window,,euro2024_domain,get free bets use euro bet builders sign here tinyurl com free place first bet will given free bets when bet settled begambleaware apply new customer offer,Get 50 in free bets to use on my #EURO2024 Bet Builders! Sign up here: tinyurl.com/50FREE-BB Place 10 on your first bet and you will be given the free bets when the bet is settled. 18+ BeGambleAware | T&C's Apply | New Customer Offer Ad
2024-07-08,02:50:00,"When you can't decide between football and trading, so you do both. #EURo2024 $BEER",Tournament window,,euro2024_domain,when can decide between football trading both euro beer,"When you can't decide between football and trading, so you do both. #EURo2024 $BEER"
2024-07-08,08:13:00,"Say hello to Taní?! ??

The official mascot of the #U17WWC Dominican Republic 2024?! ??

@FedoFutbol | #UnleashYourPassion",Tournament window,,euro2024_domain,say hello tan official mascot wwc dominican republic unleashyourpassion,Say hello to Tan?! ?? The official mascot of the #U17WWC Dominican Republic 2024?! ?? @user | #UnleashYourPassion
2024-07-08,08:17:00,"Score 150 $USDT by joining the #EURO2024 community building campaign! ??

Click to claim this #TaskOn campaign -> rewards.taskon.xyz/campaign/

50 random winners will be selected. Act fast!

Rewards will be distributed on Wednesday, July 10.",Tournament window,,euro2024_domain,score usdt joining euro community building campaign click claim taskon campaign rewards taskon xyz campaign random winners will selected act fast rewards will distributed wednesday july,"Score 150 $USDT by joining the #EURO2024 community building campaign! ?? Click to claim this #TaskOn campaign -> rewards.taskon.xyz/campaign/ 50 random winners will be selected. Act fast! Rewards will be distributed on Wednesday, July 10."
2024-07-08,08:53:00,"Beers $BEER token verification for @CoinMarketCap

Verification request: 947526",Tournament window,,euro2024_domain,beers beer token verification verification request,Beers $BEER token verification for @user Verification request: 947526
2024-07-08,09:01:00,"Benjamin Nygren = hat-trick hero ??????

#HBD || #UECL",Tournament window,,euro2024_domain,benjamin nygren hat trick hero hbd uecl,Benjamin Nygren = hat-trick hero ?????? #HBD || #UECL
2024-07-08,09:02:00,"Incredible from Trapp ??

#UEL",Tournament window,,euro2024_domain,incredible trapp uel,Incredible from Trapp ?? #UEL
2024-07-08,11:01:00,"Ciro Immobile in 2017/18... ??????

#UEL",Tournament window,,euro2024_domain,ciro immobile uel,Ciro Immobile in 2017/18... ?????? #UEL
2024-07-08,11:14:00,"It's getting closer... ???

#U17WWC | #UnleashYourPassion",Tournament window,,euro2024_domain,getting closer wwc unleashyourpassion,It's getting closer... ??? #U17WWC | #UnleashYourPassion
2024-07-08,11:15:00,"Van Dijk ?? Mané 

An assist for the ages ??

#UCL",Tournament window,,euro2024_domain,van dijk man assist ages ucl,Van Dijk ?? Man An assist for the ages ?? #UCL
2024-07-08,11:40:00,???? #mufc are closing in on Joshua #Zirkzee after terms with the striker and his agents commission were agreed. United are deliberating over whether to trigger his £34m release clause or negotiate a higher fee that would allow payments by instalments.,Tournament window,,euro2024_domain,mufc closing joshua zirkzee after terms striker agent commission agreed united deliberating over whether trigger release clause negotiate higher fee would allow payments instalments,???? #mufc are closing in on Joshua #Zirkzee after terms with the striker and his agents commission were agreed. United are deliberating over whether to trigger his 34m release clause or negotiate a higher fee that would allow payments by instalments.
2024-07-08,13:01:00,"Robbie Keane ????

#HBD | #UEL",Tournament window,,euro2024_domain,robbie keane hbd uel,Robbie Keane ???? #HBD | #UEL
2024-07-08,13:03:00,"Pikhalyonok, take a bow ??

#UECL",Tournament window,,euro2024_domain,pikhalyonok take bow uecl,"Pikhalyonok, take a bow ?? #UECL"
2024-07-08,13:23:00,"The Decisive Phase of #Euro2024 ??

The four best teams remain, however it's tough to pick a favorite. But in the end, there can only be one champion! 

Who do you think will lift the trophy and take it home? ?????",Tournament window,,euro2024_domain,decisive phase euro four best teams remain however tough pick favorite end there can only one champion think will lift trophy take home,"The Decisive Phase of #Euro2024 ?? The four best teams remain, however it's tough to pick a favorite. But in the end, there can only be one champion! Who do you think will lift the trophy and take it home? ?????"
2024-07-08,14:00:00,Well that adds a bit of spice to proceedings ??? ??????? How has this been allowed to happen??!,Tournament window,,euro2024_domain,well adds bit spice proceedings how allowed happen,Well that adds a bit of spice to proceedings ??? ??????? How has this been allowed to happen??!
2024-07-08,14:00:00,"?? Connection with Nico Williams
?? Facing Kylian Mbappé
???? Carles Puyol comparisons

Marc Cucurella talked about his team-mate and their looming semi-final against France ??

#EURO2024",Tournament window,,euro2024_domain,connection nico williams facing kylian mbapp carles puyol comparisons marc cucurella talked about team mate looming semi final against france euro,?? Connection with Nico Williams ?? Facing Kylian Mbapp ???? Carles Puyol comparisons Marc Cucurella talked about his team-mate and their looming semi-final against France ?? #EURO2024
2024-07-08,15:00:00,"Eden Hazard ??

#UEL",Tournament window,,euro2024_domain,eden hazard uel,Eden Hazard ?? #UEL
2024-07-08,15:04:00,"Brilliant double save from Craig Gordon ??

#UECL",Tournament window,,euro2024_domain,brilliant double save craig gordon uecl,Brilliant double save from Craig Gordon ?? #UECL
2024-07-08,20:27:00,"The £20 winners are

@rhiannondevine 
@MillerMxtt 

Send us a DM and we will send it over ??",Tournament window,,euro2024_domain,winners send will send over,The 20 winners are @user @user Send us a DM and we will send it over ??
2024-07-08,22:52:00,"""Thank you, football."" 

All the best in your retirement, @Thiago6 ??

#UCL",Tournament window,,euro2024_domain,thank football all best retirement ucl,"""Thank you, football."" All the best in your retirement, @user ?? #UCL"
